,doi,display_name_author_fr,display_name_author_fr_utf8
83,https://doi.org/10.1016/j.watres.2024.121637,A. Bonnière,a. bonniere
84,https://doi.org/10.1016/j.jmrt.2024.05.260,A. Borbély,a. borbely
85,https://doi.org/10.1016/j.tipsro.2022.11.003,A. Boucaud,a. boucaud
86,https://doi.org/10.1016/j.scitotenv.2024.177523,A. Bouchard,a. bouchard
87,https://doi.org/10.1016/j.jacig.2024.100329,A. Boumédiène,a. boumediene
88,https://doi.org/10.1016/j.reval.2023.103323,A. Boumedienne,a. boumedienne
89,https://doi.org/10.1016/j.fjurol.2024.102754,A. Bourillon,a. bourillon
90,https://doi.org/10.1016/j.ajog.2023.05.016,A. Bourtembourg,a. bourtembourg
91,https://doi.org/10.1002/jvc2.582,A. Boyard,a. boyard
92,https://doi.org/10.1002/ski2.334,A. Bozonnat,a. bozonnat
93,https://doi.org/10.1002/cmdc.202200594,A. Braka,a. braka
94,https://doi.org/10.1016/j.cej.2022.135886,A. Brambilla,a. brambilla
95,https://doi.org/10.1111/cod.14369,A. Bréhon,a. brehon
96,https://doi.org/10.1111/all.16273,A. Bruner,a. bruner
97,https://doi.org/10.1002/admi.202200498,A. Bsiesy,a. bsiesy
98,https://doi.org/10.1016/j.icarus.2024.116015,A. Buch,a. buch
99,https://doi.org/10.1016/j.jhydrol.2024.131887,A. Buffet,a. buffet
100,https://doi.org/10.1016/j.esmoop.2023.101628,A. Buisson,a. buisson
101,https://doi.org/10.1111/ejh.14140,A. C. Lhoumeau,a. c. lhoumeau
102,https://doi.org/10.1016/j.hedp.2024.101084,A. Calisti,a. calisti
103,https://doi.org/10.1111/cod.14127,A. Calugareanu,a. calugareanu
104,https://doi.org/10.1016/j.jqsrt.2024.108905,A. Campargue,a. campargue
105,https://doi.org/10.1016/j.esmoop.2024.103968,A. Canellas,a. canellas
106,https://doi.org/10.1016/j.rmcr.2022.101648,A. Caño,a. cano
107,https://doi.org/10.1016/j.electacta.2024.145524,A. Caravaca,a. caravaca
108,https://doi.org/10.1111/bjd.21791,A. Carlotti,a. carlotti
109,https://doi.org/10.1016/j.onehlt.2024.100922,A. Caron,a. caron
110,https://doi.org/10.1016/j.apsusc.2024.160913,A. Cavanna,a. cavanna
111,https://doi.org/10.1016/j.ejmech.2024.116391,A. Champiré,a. champire
112,https://doi.org/10.1111/ejh.14140,A. Charbonnier,a. charbonnier
113,https://doi.org/10.1016/j.mtla.2024.102189,A. Chetouani,a. chetouani
114,https://doi.org/10.1002/aelm.202300872,A. Claudel,a. claudel
115,https://doi.org/10.1002/pssr.202200450,A. Claverie,a. claverie
116,https://doi.org/10.1016/j.annonc.2024.01.001,A. Córdoba,a. cordoba
117,https://doi.org/10.1002/alr.23343,A. Coste,a. coste
118,https://doi.org/10.1016/j.dib.2024.111135,A. Cothenet,a. cothenet
119,https://doi.org/10.1016/j.chemgeo.2024.122242,A. Cousin,a. cousin
120,https://doi.org/10.1016/j.heliyon.2022.e12210,A. Couture,a. couture
121,https://doi.org/10.1016/j.ekir.2024.01.010,A. Couturier,a. couturier
122,https://doi.org/10.1111/resp.14475,A. Cuvelier,a. cuvelier
123,https://doi.org/10.1002/ece3.10796,A. D. Antoine,a. d. antoine
