,id,display_name,hierarchy_level,parent_publisher
395,https://openalex.org/P4322614462,Editions Medecine et Hygiene,0.0,
396,https://openalex.org/P4310317973,Ivyspring International Publisher,0.0,
397,https://openalex.org/P4310313579,The Meteorological Society of Japan,0.0,
398,https://openalex.org/P4320800687,Chinese Pharmaceutical Association,0.0,
399,https://openalex.org/P4310320611,Ghent University,0.0,
400,https://openalex.org/P4310319187,University of Costa Rica,0.0,
401,https://openalex.org/P4310318354,Istanbul University,0.0,
402,https://openalex.org/P4320800557,China Aerospace Science and Industry Corporation,0.0,
403,https://openalex.org/P4310312571,Federal University of Rio Grande do Sul,0.0,
404,https://openalex.org/P4310318858,Universidad Externado de Colombia,0.0,
405,https://openalex.org/P4322614452,Society for the Advancement of Philological and Historical Studies,0.0,
406,https://openalex.org/P4310321041,Servicio de Publicaciones,0.0,
407,https://openalex.org/P4310321016,MA Healthcare,0.0,
408,https://openalex.org/P4360969305,Fundacao Getulio Varagas,0.0,
409,https://openalex.org/P4310319932,Mineralogical Society of America,0.0,
410,https://openalex.org/P4310315150,State University of Medan,0.0,
411,https://openalex.org/P4310315704,Truman State University,0.0,
412,https://openalex.org/P4310319809,University of Brasília,0.0,
413,https://openalex.org/P4310320316,Future Science Ltd,0.0,
414,https://openalex.org/P4322614515,Scientific.net,0.0,
415,https://openalex.org/P4310311785,Zoological Society of London,0.0,
416,https://openalex.org/P4310315851,Endocrine Society,0.0,
417,https://openalex.org/P4310320254,American Association of Physics Teachers,0.0,
418,https://openalex.org/P4310318077,National Documentation Centre,0.0,
419,https://openalex.org/P4310320087,CNRS Éditions,1.0,National Center for Scientific Research
420,https://openalex.org/P4322696530,The Yale Law Journal Company,0.0,
421,https://openalex.org/P4310317217,Aarhus University Press,0.0,
422,https://openalex.org/P4310312982,International Information and Engineering Technology Association,0.0,
423,https://openalex.org/P4310313675,Dustri-Verlag,0.0,
424,https://openalex.org/P4322614598,The Korea Academia-Industrial Cooperation Society,0.0,
425,https://openalex.org/P4310312900,Presses de l'Université Laval,0.0,
426,https://openalex.org/P4310321040,National University of Distance Education,0.0,
427,https://openalex.org/P4310315741,Michigan State University Press,0.0,
428,https://openalex.org/P4310315861,Smithsonian Institution,0.0,
429,https://openalex.org/P4323293544,Gramota Publishers,0.0,
430,https://openalex.org/P4310312471,Fluminense Federal University,0.0,
431,https://openalex.org/P4310313591,Japan Institute of Metals and Materials,0.0,
432,https://openalex.org/P4310320196,Firenze University Press,0.0,
433,https://openalex.org/P4310312067,State University of Londrina,0.0,
434,https://openalex.org/P4310320062,International Scientific Information Inc.,0.0,
435,https://openalex.org/P4310313753,Schattauer Verlag,1.0,Thieme Medical Publishers (Germany)
436,https://openalex.org/P4310315906,American Oriental Society,0.0,
437,https://openalex.org/P4310316704,Music Library Association,0.0,
438,https://openalex.org/P4322615647,Indian Society for Education and Environment,0.0,
439,https://openalex.org/P4320800548,Japan Surgical Association,0.0,
440,https://openalex.org/P4310317618,Italian Physical Society,0.0,
441,https://openalex.org/P4310320623,Haworth Press,0.0,
442,https://openalex.org/P4310320118,Il Mulino,0.0,
