institution,doi
Hannover U,3
Konstanz U,3
Kassel U,3
MHB Fontane,3
Liverpool School of Tropical Medicine,3
"Queen Mary, University of London",3
University of Bristol,3
University of St Andrews,3
Universitat de Barcelona,3
VTT Technical Research Centre of Finland Ltd,3
University of Ferrara,3
Bayreuth U,3
Alfred-Wegener-Institut,3
Aston University,2
Bangor University,2
Bochum U,2
Brunel University,2
University of Bergen,2
Université de la Nouvelle-Calédonie,2
VSB - Technical University of Ostrava,2
University of Leeds,2
University of Bath,2
TU Wien,2
Mahidol University of Oxford Tropical Medicine Research Unit,2
Université Paris-Dauphine - Paris IX,2
Linköping University,2
TU Berlin,2
NILU - Norwegian Institute for Air Research,2
Mälardalen University,2
Northumbria University,2
MDC,2
Queen's University Belfast,2
University of Southampton,2
Free University of Bozen-Bolzano,2
ENSICAEN - Ecole nationale supérieure de Caen,2
DESY,2
Åbo Akademi University,2
Université de Montpellier - Paul Valéry,2
HU Berlin,2
HZDR,2
Marburg U,2
Université Sorbonne Nouvelle - Paris III - USN,2
Centre Hospitalier Universitaire d'Amiens,2
Stuttgart U,2
Bonn U,1
Veneto Institute of Oncology IOV IRCCS,1
University of Gävle,1
University of Kent,1
University of Leicester,1
TU Ilmenau,1
University of Eastern Finland,1
University of East Anglia,1
"University of Chemistry and Technology, Prague",1
University of Basel,1
University of Zurich,1
University of Tromsø - The Arctic University of Norway,1
Università degli Studi di Modena e Reggio Emilia,1
Salzburg U,1
Rostock U,1
RPTU Kaiserslautern-Landau,1
University Medical Center Hamburg-Eppendorf,1
University of Aberdeen,1
University of Oulu,1
University of Skövde,1
TiHo Hannover,1
Magdeburg U,1
Norwegian University of Science and Technology,1
Osnabrück U,1
Passau U,1
TU Chemnitz,1
Siegen U,1
Norwegian Institute for Nature Research,1
Trier U,1
University of Strathclyde,1
University of Sussex,1
Leibniz-DPZ,1
Lancaster University,1
LSE,1
Museum für Naturkunde Berlin,1
Karlstad University,1
Kiel U,1
IFW Dresden,1
Harvard U,1
Greifswald U,1
HHU Düsseldorf,1
Leibniz-IGB,1
LSHTM,1
Fraunhofer-Gesellschaft,1
Empa - Swiss Federal Laboratories for Materials Science and Technology,1
Duisburg-Essen U,1
GSI,1
Friedrich-Schiller-Universität Jena,1
Fraunhofer-Gesellschaft Publishing Fund,1
Dalarna University,1
Catholic University of Eichstätt-Ingolstadt,1
ZHAW Zurich University of Applied Sciences,1
Örebro University,1
