institution,doi,Not France
Heidelberg U,12,TRUE
Karolinska Institutet,11,TRUE
Leibniz-Fonds,10,TRUE
Aalto University,10,TRUE
University of Liverpool,10,TRUE
Wuerzburg U,10,TRUE
Giessen U,10,TRUE
INSA Strasbourg - Institut National des Sciences Appliquées de Strasbourg,9,FALSE
ISARA - Institut Supérieur d'Agriculture et d'Agroalimentaire Rhône-Alpes,9,FALSE
University of Sheffield,9,TRUE
University of York,9,TRUE
Oldenburg U,9,TRUE
King's College London,8,TRUE
University of Milano-Bicocca,8,TRUE
Queen's University Belfast,8,TRUE
University of Reading,8,TRUE
University of Durham,8,TRUE
Tampere University,8,TRUE
Bielefeld U,8,TRUE
"WSL - Swiss Federal Institute for Forest, Snow and Landscape Research",8,TRUE
ENGEES - Ecole nationale du Génie de l'Eau et de l'Environnement de Strasbourg,7,FALSE
Qatar National Library,7,TRUE
UFZ,7,TRUE
TU Braunschweig,7,TRUE
PIK-Potsdam,7,TRUE
University of Borås,7,TRUE
ENAC - Ecole Nationale de l'Aviation Civile,7,FALSE
University of Bern,7,TRUE
IST Austria,7,TRUE
Luleå University of Technology,6,TRUE
Université Panthéon-Sorbonne - Paris I,6,FALSE
FU Berlin,6,TRUE
University of Bristol,6,TRUE
University of Southampton,5,TRUE
TU Dresden,5,TRUE
Erlangen Nuernberg U,5,TRUE
TU Darmstadt,5,TRUE
HZDR,5,TRUE
Bayreuth U,5,TRUE
University of Turku,5,TRUE
Université Jean Moulin - Lyon III,5,FALSE
Université Polytechnique Hauts-de-France,5,FALSE
MHB Fontane,5,TRUE
University of Jyväskylä,5,TRUE
University of Debrecen,5,TRUE
Kassel U,5,TRUE
Linköping University,5,TRUE
Eawag - Swiss Federal Institute of Aquatic Science and Technology,5,TRUE
Ulm U,5,TRUE
Regensburg U,5,TRUE
Hannover U,5,TRUE
Münster U,4,TRUE
Universitat de Barcelona,4,TRUE
University of Bath,4,TRUE
NILU - Norwegian Institute for Air Research,4,TRUE
VTT Technical Research Centre of Finland Ltd,4,TRUE
Marburg U,4,TRUE
Mahidol University of Oxford Tropical Medicine Research Unit,4,TRUE
University of Leeds,4,TRUE
University of St Andrews,4,TRUE
Lancaster University,4,TRUE
University of Exeter,4,TRUE
University of Ferrara,4,TRUE
Friedrich-Schiller-Universität Jena,4,TRUE
University of Calgary,4,TRUE
Konstanz U,4,TRUE
Université Paris-Est Marne-la-Vallée,4,FALSE
University of Dundee,4,TRUE
Aston University,4,TRUE
DESY,4,TRUE
Greifswald U,4,TRUE
Université Toulouse - Jean Jaurès,4,FALSE
Université Bordeaux Montaigne,4,FALSE
Alfred-Wegener-Institut,3,TRUE
Institute of Cancer Research,3,TRUE
IMT Mines Alès,3,TRUE
University of Warwick,3,TRUE
HU Berlin,3,TRUE
Hamburg TUHH,3,TRUE
Free University of Bozen-Bolzano,3,TRUE
Dortmund TU,3,TRUE
Saarland U,3,TRUE
Leibniz-IGB,3,TRUE
MDC,3,TRUE
Liverpool School of Tropical Medicine,3,TRUE
"Queen Mary, University of London",3,TRUE
TU Berlin,3,TRUE
Université de la Nouvelle-Calédonie,3,FALSE
ZHAW Zurich University of Applied Sciences,2,TRUE
Bangor University,2,TRUE
Åbo Akademi University,2,TRUE
Université Sorbonne Nouvelle - Paris III - USN,2,FALSE
Université de Montpellier - Paul Valéry,2,FALSE
Université Paris-Dauphine - Paris IX,2,FALSE
HHU Düsseldorf,2,TRUE
University of Tromsø - The Arctic University of Norway,2,TRUE
University of Leicester,2,TRUE
Kiel U,2,TRUE
University of Bergen,2,TRUE
Magdeburg U,2,TRUE
LSE,2,TRUE
Northumbria University,2,TRUE
Empa - Swiss Federal Laboratories for Materials Science and Technology,2,TRUE
ENSICAEN - Ecole nationale supérieure de Caen,2,TRUE
Oxford University Clinical Research Unit,2,TRUE
TU Wien,2,TRUE
RWTH Aachen,2,TRUE
Stuttgart U,2,TRUE
Brunel University,2,TRUE
Bochum U,2,TRUE
Centre Hospitalier Universitaire d'Amiens,2,FALSE
VSB - Technical University of Ostrava,2,TRUE
Mälardalen University,2,TRUE
Rostock U,2,TRUE
Örebro University,1,TRUE
Catholic University of Eichstätt-Ingolstadt,1,TRUE
University of Strathclyde,1,TRUE
University of Sussex,1,TRUE
University of Zurich,1,TRUE
Università degli Studi di Modena e Reggio Emilia,1,TRUE
University of Kent,1,TRUE
University of Oulu,1,TRUE
University of Skövde,1,TRUE
"University of Chemistry and Technology, Prague",1,TRUE
University of East Anglia,1,TRUE
University of Eastern Finland,1,TRUE
University of Gävle,1,TRUE
TiHo Hannover,1,TRUE
Trier U,1,TRUE
University Medical Center Hamburg-Eppendorf,1,TRUE
University of Aberdeen,1,TRUE
University of Basel,1,TRUE
Dalarna University,1,TRUE
Duisburg-Essen U,1,TRUE
Siegen U,1,TRUE
Swansea University,1,TRUE
TU Chemnitz,1,TRUE
TU Clausthal,1,TRUE
TU Ilmenau,1,TRUE
Osnabrück U,1,TRUE
RPTU Kaiserslautern-Landau,1,TRUE
Salzburg U,1,TRUE
Malmö University,1,TRUE
Museum für Naturkunde Berlin,1,TRUE
Norwegian Institute for Nature Research,1,TRUE
Norwegian University of Life Sciences,1,TRUE
Norwegian University of Science and Technology,1,TRUE
Fraunhofer-Gesellschaft,1,TRUE
Fraunhofer-Gesellschaft Publishing Fund,1,TRUE
Leibniz-DPZ,1,TRUE
Leibniz-ZALF,1,TRUE
Linnaeus University,1,TRUE
Institut für Arbeitsmarkt- und Berufsforschung,1,TRUE
Karlstad University,1,TRUE
LSHTM,1,TRUE
GSI,1,TRUE
Harvard U,1,TRUE
IFW Dresden,1,TRUE
Bonn U,1,TRUE
Université de la Polynésie française,1,FALSE
Veneto Institute of Oncology IOV IRCCS,1,TRUE
Virginia Tech,1,TRUE
Wuppertal U,1,TRUE
,30484,
