year,avg_eur_per_usd
2013,0.754964747
2014,0.753772784
2015,0.900274106
2016,0.900081943
2017,0.891521738
2018,0.846977771
2019,0.893160712
2020,0.875594233
2021,0.843781386
2022,0.949642142
2023,0.927957615
2024,0.922812555
